,ssl_acc,slk_acc,n-qubit ,number1
0,0.995499978,0.986999989,4,100
1,0.947999973,0.904999971,5,100
2,0.960500002,0.934000015,6,100
3,0.967499971,0.936999977,7,100
4,0.998000026,0.976499975,8,100
5,0.986999998,0.968500018,9,100
6,0.988011012,0.961019516,10,100
,,,,
3可分 4次酉变换，4个特征,,,,
,,,,
,ssl_acc,slk_acc,n-qubit,number1
0,0.991999984,0.980000022,4,30
1,0.939499993,0.905,5,30
2,0.946500003,0.931999981,6,30
3,0.949500024,0.935500026,7,30
4,0.97699999,0.953999977,8,30
5,0.98299998,0.968500018,9,30
6,0.983508229,0.968015969,10,30
,,,,
3可分 4次酉变换，4个特征,,,,
